dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
935,25.52371027,25.638,25.65528373,21.71520189,24.22199819,24.68130193,27.37403764,27.48414255,24.75406994,15.8,21.47847248,23.92054776,24.6845635,27.24775418,27.48160759,24.74484014
936,25.4956458,25.6135,25.62617002,21.73729039,24.18455564,24.66020867,27.34899523,27.4613538,24.72330026,15.9,21.46680362,23.90218922,24.66312548,27.22264631,27.45851406,24.7234257
937,25.46758133,25.589,25.59710229,21.74849597,24.17692135,24.63930197,27.32436847,27.43856509,24.71109639,15.9,21.45524564,23.88401689,24.6418737,27.19767178,27.43542825,24.70217938
938,25.43951686,25.5645,25.56808152,21.70884385,24.10967054,24.61858393,27.30016491,27.41577642,24.69061056,16,21.44379931,23.86603214,24.62081078,27.17283247,27.41235043,24.68110384
939,25.41145239,25.54,25.53910869,21.65875497,23.99603754,24.59805664,27.27639206,27.39298779,24.65510578,16.1,21.4324654,23.84823636,24.59993933,27.14813028,27.38928087,24.66020171
940,25.37939006,25.512,25.51018478,21.65387235,24.05265156,24.57772221,27.25305747,27.37019921,24.64682865,16.2,21.42124468,23.8306309,24.57926198,27.12356708,27.36621985,24.63947567
941,25.34732772,25.484,25.48131079,21.64464157,24.08705277,24.55758274,27.22301163,27.34741067,24.61528651,16.2,21.41013792,23.81321715,24.55878133,27.09914477,27.34316762,24.61892836
942,25.31526539,25.456,25.45248769,21.62698037,24.06385395,24.53764033,27.18406158,27.32462218,24.60450593,16.3,21.39914588,23.79599648,24.5385,27.07486522,27.32012448,24.59856243
943,25.28320305,25.428,25.42371648,21.60768622,24.00021156,24.51789707,27.14552976,27.30183374,24.57183062,16.4,21.38826935,23.77897026,24.51842062,27.05073032,27.29709067,24.57838055
944,25.25114072,25.4,25.39499813,21.61204251,23.98237202,24.49835508,27.10742743,27.27904535,24.55557215,16.4,21.37750909,23.76213986,24.4985458,27.02674196,27.27406648,24.55838535
945,25.21907839,25.372,25.36633363,21.61021966,23.99418448,24.47901644,27.06976589,27.256257,24.54173564,16.5,21.36686586,23.74550667,24.47887816,27.00290203,27.25105218,24.5385795
946,25.18701605,25.344,25.33772397,21.59286783,23.95692892,24.45988325,27.03255641,27.23346871,24.51953243,16.6,21.35634045,23.72907205,24.45942031,26.9792124,27.22804802,24.51896566
947,25.15495372,25.316,25.30917012,21.57600537,23.94934368,24.44095763,26.99581027,27.21068047,24.49263449,16.7,21.34593361,23.71283738,24.44017487,26.95567496,27.2050543,24.49954646
