"","RMSE","H","EM","Frechet"
"ShighRes",0,0.01,0.07,0.01
"Fmean",0.01,0.03,0.1,0.03
"Fmedian",0.01,0.02,0.09,0.02
"FSCmean",0.01,0.02,0.08,0.02
"FSCmedian",0.01,0.02,0.07,0.02
"FSCpam",0.01,0.02,0.12,0.02
"FSCkml",0.01,0.02,0.08,0.02
"RWGPS",0.35,7.97,0.35,7.97
