x,y,zhighRes
489612.4413,5457870.726,18.24
489613.3444,5457871.155,18.27
489614.2267,5457871.626,18.297
489615.109,5457872.097,18.324
489615.9913,5457872.567,18.351
489616.8736,5457873.038,18.378
489617.7559,5457873.509,18.405
489618.6382,5457873.979,18.432
489619.5205,5457874.45,18.459
489620.4028,5457874.921,18.486
489621.2851,5457875.391,18.513
489622.1673,5457875.862,18.54
489623.047,5457876.338,18.574
489623.9267,5457876.813,18.608
489624.8064,5457877.289,18.642
489625.6861,5457877.764,18.676
489626.5658,5457878.24,18.71
489627.4455,5457878.715,18.744
489628.3252,5457879.191,18.778
489629.205,5457879.666,18.812
489630.0847,5457880.142,18.846
489630.9644,5457880.618,18.88
489631.8441,5457881.093,18.909
489632.7238,5457881.569,18.938
489633.6035,5457882.044,18.967
489634.4832,5457882.52,18.996
489635.3629,5457882.995,19.025
489636.2426,5457883.471,19.054
489637.1223,5457883.946,19.083
489638.002,5457884.422,19.112
489638.8817,5457884.897,19.141
489639.7626,5457885.37,19.17
489640.6698,5457885.791,19.197
489641.5771,5457886.212,19.224
489642.4843,5457886.632,19.251
489643.3915,5457887.053,19.278
489644.2987,5457887.474,19.305
489645.2059,5457887.894,19.332
489646.1132,5457888.315,19.359
489647.0204,5457888.736,19.386
489647.9276,5457889.156,19.413
489648.835,5457889.576,19.44
489649.7459,5457889.989,19.491
489650.6569,5457890.402,19.542
489651.5678,5457890.814,19.593
489652.4788,5457891.227,19.644
489653.3897,5457891.639,19.695
489654.3006,5457892.052,19.746
489655.2116,5457892.464,19.797
489656.1225,5457892.877,19.848
489657.0335,5457893.289,19.899
489657.9444,5457893.702,19.95
489658.8553,5457894.114,19.963
489659.7663,5457894.527,19.976
489660.6772,5457894.939,19.989
489661.5882,5457895.352,20.002
489662.4991,5457895.765,20.015
489663.41,5457896.177,20.028
489664.321,5457896.59,20.041
489665.2319,5457897.002,20.054
489666.1428,5457897.415,20.067
489667.0537,5457897.827,20.08
489667.963,5457898.244,20.1095
489668.8722,5457898.66,20.139
489669.7815,5457899.076,20.1685
489670.6907,5457899.492,20.198
489671.6,5457899.909,20.2275
489672.5092,5457900.325,20.257
489673.4185,5457900.741,20.2865
489674.3277,5457901.157,20.316
489675.237,5457901.574,20.3455
489676.1457,5457901.991,20.375
489677.043,5457902.432,20.4085
489677.9402,5457902.874,20.442
489678.8375,5457903.316,20.4755
489679.7347,5457903.757,20.509
489680.632,5457904.199,20.5425
489681.5292,5457904.64,20.576
489682.4264,5457905.082,20.6095
489683.3237,5457905.523,20.643
489684.2209,5457905.965,20.6765
489685.1182,5457906.406,20.71
489686.0154,5457906.848,20.735
489686.9127,5457907.289,20.76
489687.8099,5457907.731,20.785
489688.7071,5457908.172,20.81
489689.6044,5457908.614,20.835
489690.5016,5457909.056,20.86
489691.3989,5457909.497,20.885
489692.2961,5457909.939,20.91
489693.1934,5457910.38,20.935
489694.0906,5457910.822,20.96
489694.9878,5457911.263,20.9885
489695.8851,5457911.705,21.017
489696.7823,5457912.146,21.0455
489697.6796,5457912.588,21.074
489698.5768,5457913.029,21.1025
489699.474,5457913.471,21.131
489700.3713,5457913.912,21.1595
489701.2685,5457914.354,21.188
489702.1658,5457914.796,21.2165
489703.063,5457915.237,21.245
489703.9603,5457915.679,21.2765
489704.8575,5457916.12,21.308
489705.7547,5457916.562,21.3395
489706.652,5457917.003,21.371
489707.5492,5457917.445,21.4025
489708.4465,5457917.886,21.434
489709.3437,5457918.328,21.4655
489710.241,5457918.769,21.497
489711.1382,5457919.211,21.5285
489712.0354,5457919.652,21.56
489712.9327,5457920.094,21.596
489713.8299,5457920.536,21.632
489714.7272,5457920.977,21.668
489715.6244,5457921.419,21.704
489716.5217,5457921.86,21.74
489717.4189,5457922.302,21.776
489718.3161,5457922.743,21.812
489719.2134,5457923.185,21.848
489720.1106,5457923.626,21.884
489721.0079,5457924.068,21.92
489721.9051,5457924.509,21.941
489722.8024,5457924.951,21.962
489723.6996,5457925.392,21.983
489724.5968,5457925.834,22.004
489725.4941,5457926.276,22.025
489726.3913,5457926.717,22.046
489727.2886,5457927.159,22.067
489728.1858,5457927.6,22.088
489729.0831,5457928.042,22.109
489729.9803,5457928.483,22.13
489730.8775,5457928.925,22.169
489731.7748,5457929.366,22.208
489732.672,5457929.808,22.247
489733.5693,5457930.249,22.286
489734.4665,5457930.691,22.325
489735.3638,5457931.132,22.364
489736.261,5457931.574,22.403
489737.1582,5457932.016,22.442
489738.0555,5457932.457,22.481
489738.9527,5457932.899,22.52
489739.85,5457933.34,22.537
489740.7472,5457933.782,22.554
489741.6445,5457934.223,22.571
489742.5417,5457934.665,22.588
489743.4389,5457935.106,22.605
489744.3362,5457935.548,22.622
489745.2334,5457935.989,22.639
489746.1307,5457936.431,22.656
489747.0279,5457936.872,22.673
489747.9252,5457937.314,22.69
489748.8224,5457937.756,22.7285
489749.7196,5457938.197,22.767
489750.6169,5457938.639,22.8055
489751.5141,5457939.08,22.844
489752.4114,5457939.522,22.8825
489753.3086,5457939.963,22.921
489754.2059,5457940.405,22.9595
489755.1031,5457940.846,22.998
489756.0003,5457941.288,23.0365
489756.8976,5457941.729,23.075
489757.7948,5457942.171,23.1095
489758.6921,5457942.612,23.144
489759.5893,5457943.054,23.1785
489760.4865,5457943.496,23.213
489761.3838,5457943.937,23.2475
489762.281,5457944.379,23.282
489763.1783,5457944.82,23.3165
489764.0755,5457945.262,23.351
489764.9728,5457945.703,23.3855
489765.87,5457946.145,23.42
489766.7672,5457946.586,23.451
489767.6645,5457947.028,23.482
489768.5617,5457947.469,23.513
489769.459,5457947.911,23.544
489770.3562,5457948.352,23.575
489771.2535,5457948.794,23.606
489772.1507,5457949.235,23.637
489773.0479,5457949.677,23.668
489773.9452,5457950.119,23.699
489774.8424,5457950.56,23.73
489775.7397,5457951.002,23.759
489776.6369,5457951.443,23.788
489777.5342,5457951.885,23.817
489778.4314,5457952.326,23.846
489779.3286,5457952.768,23.875
489780.2259,5457953.209,23.904
489781.1231,5457953.651,23.933
489782.0204,5457954.092,23.962
489782.9176,5457954.534,23.991
489783.8149,5457954.975,24.02
489784.7121,5457955.417,24.048
489785.6093,5457955.859,24.076
489786.5066,5457956.3,24.104
489787.4038,5457956.742,24.132
489788.3011,5457957.183,24.16
489789.1983,5457957.625,24.188
489790.0956,5457958.066,24.216
489790.9928,5457958.508,24.244
489791.89,5457958.949,24.272
489792.7873,5457959.391,24.3
489793.6845,5457959.832,24.328
489794.5818,5457960.274,24.356
489795.479,5457960.715,24.384
489796.3763,5457961.157,24.412
489797.2735,5457961.599,24.44
489798.1707,5457962.04,24.468
489799.068,5457962.482,24.496
489799.9652,5457962.923,24.524
489800.8625,5457963.365,24.552
489801.7597,5457963.806,24.58
489802.657,5457964.248,24.61
489803.5542,5457964.689,24.64
489804.4514,5457965.131,24.67
489805.3487,5457965.572,24.7
489806.2459,5457966.014,24.73
489807.1432,5457966.455,24.76
489808.0404,5457966.897,24.79
489808.9377,5457967.339,24.82
489809.8349,5457967.78,24.85
489810.7321,5457968.222,24.88
489811.6294,5457968.663,24.91
489812.5266,5457969.105,24.94
489813.4239,5457969.546,24.97
489814.3211,5457969.988,25
489815.2184,5457970.429,25.03
489816.1156,5457970.871,25.06
489817.0128,5457971.312,25.09
489817.9101,5457971.754,25.12
489818.8073,5457972.195,25.15
489819.7046,5457972.637,25.18
489820.6018,5457973.079,25.217
489821.499,5457973.52,25.254
489822.3963,5457973.962,25.291
489823.2935,5457974.403,25.328
489824.1908,5457974.845,25.365
489825.088,5457975.286,25.402
489825.9853,5457975.728,25.439
489826.8825,5457976.169,25.476
489827.7797,5457976.611,25.513
489828.677,5457977.052,25.55
489829.5746,5457977.493,25.569
489830.4722,5457977.934,25.588
489831.3698,5457978.375,25.607
489832.2674,5457978.816,25.626
489833.165,5457979.256,25.645
489834.0626,5457979.697,25.664
489834.9602,5457980.138,25.683
489835.8578,5457980.579,25.702
489836.7554,5457981.02,25.721
489837.653,5457981.46,25.74
489838.552,5457981.898,25.779
489839.451,5457982.336,25.818
489840.35,5457982.774,25.857
489841.249,5457983.212,25.896
489842.148,5457983.65,25.935
489843.047,5457984.088,25.974
489843.946,5457984.526,26.013
489844.8451,5457984.964,26.052
489845.7441,5457985.402,26.091
489846.6431,5457985.84,26.13
489847.5421,5457986.278,26.158
489848.4411,5457986.716,26.186
489849.3401,5457987.154,26.214
489850.2391,5457987.592,26.242
489851.1381,5457988.029,26.27
489852.0371,5457988.467,26.298
489852.9361,5457988.905,26.326
489853.8351,5457989.343,26.354
489854.7341,5457989.781,26.382
489855.6331,5457990.219,26.41
489856.5321,5457990.657,26.442
489857.4312,5457991.095,26.474
489858.3302,5457991.533,26.506
489859.2292,5457991.971,26.538
489860.1282,5457992.409,26.57
489861.0272,5457992.847,26.602
489861.9262,5457993.285,26.634
489862.8252,5457993.723,26.666
489863.7242,5457994.161,26.698
489864.6232,5457994.598,26.73
489865.5222,5457995.036,26.754
489866.4212,5457995.474,26.778
489867.3202,5457995.912,26.802
489868.2192,5457996.35,26.826
489869.1182,5457996.788,26.85
489870.0173,5457997.226,26.874
489870.9163,5457997.664,26.898
489871.8153,5457998.102,26.922
489872.7143,5457998.54,26.946
489873.6133,5457998.978,26.97
489874.5123,5457999.416,27.004
489875.4113,5457999.854,27.038
489876.3103,5458000.292,27.072
489877.2093,5458000.73,27.106
489878.1083,5458001.168,27.14
489879.0073,5458001.605,27.174
489879.9063,5458002.043,27.208
489880.8053,5458002.481,27.242
489881.7043,5458002.919,27.276
489882.6034,5458003.357,27.31
489883.5024,5458003.795,27.3415
489884.4014,5458004.233,27.373
489885.3004,5458004.671,27.4045
489886.1994,5458005.109,27.436
489887.0984,5458005.547,27.4675
489887.9974,5458005.985,27.499
489888.8964,5458006.423,27.5305
489889.7954,5458006.861,27.562
489890.6944,5458007.299,27.5935
489891.5934,5458007.737,27.625
489892.4924,5458008.174,27.6465
489893.3914,5458008.612,27.668
489894.2904,5458009.05,27.6895
489895.1895,5458009.488,27.711
489896.0885,5458009.926,27.7325
489896.9875,5458010.364,27.754
489897.8865,5458010.802,27.7755
489898.7855,5458011.24,27.797
489899.6845,5458011.678,27.8185
489900.5835,5458012.116,27.84
489901.4825,5458012.554,27.874
489902.3815,5458012.992,27.908
489903.2805,5458013.43,27.942
489904.1795,5458013.868,27.976
489905.0785,5458014.306,28.01
489905.9775,5458014.743,28.044
489906.8765,5458015.181,28.078
489907.7756,5458015.619,28.112
489908.6746,5458016.057,28.146
489909.5736,5458016.495,28.18
489910.4726,5458016.933,28.212
489911.3716,5458017.371,28.244
489912.2706,5458017.809,28.276
489913.1696,5458018.247,28.308
489914.0686,5458018.685,28.34
489914.9676,5458019.123,28.372
489915.8666,5458019.561,28.404
489916.7656,5458019.999,28.436
489917.6646,5458020.437,28.468
489918.5636,5458020.875,28.5
489919.4626,5458021.312,28.533
489920.3617,5458021.75,28.566
489921.2607,5458022.188,28.599
489922.1597,5458022.626,28.632
489923.0587,5458023.064,28.665
489923.9577,5458023.502,28.698
489924.8567,5458023.94,28.731
489925.7557,5458024.378,28.764
489926.6547,5458024.816,28.797
489927.5537,5458025.254,28.83
